reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-0001,Rishiri-Rebun-Sarobetsu National Park,45.1942,141.239,QN05oe,JP-HK,13,11,445,0,1
JP-0002,Shiretoko National Park,44.165,145.205,QN24od,JP-HK,4,4,104,0,0
JP-0003,Akan-Mashu National Park,43.4362,144.103,QN23bk,JP-HK,13,11,308,0,0
JP-0004,Kushiroshitsugen National Park,43.1383,144.445,QN23fd,JP-HK,26,19,530,0,1
JP-0005,Daisetsuzan National Park,43.6717,142.907,QN13kq,JP-HK,22,20,528,0,0
JP-0006,Shikotsu-Toya National Park,42.7959,141.221,QN02ot,JP-HK,34,30,800,0,0
JP-0007,Towada-Hachimantai National Park,40.2442,140.939,QN00lf,"JP-AK,JP-AO,JP-IW",48,35,1077,0,1
JP-0008,Sanriku Fukko National Park,39.0046,141.585,QM09ta,"JP-AO,JP-IW,JP-MG",194,182,6699,0,9
JP-0009,Bandai-Asahi National Park,37.8229,139.74,PM97ut,"JP-FS,JP-NI,JP-YT",125,104,3692,0,2
JP-0010,Nikko National Park,36.8763,139.464,PM96rv,"JP-FS,JP-GM,JP-TC",186,164,6885,0,5
JP-0011,Oze National Park,36.9382,139.287,PM96pw,"JP-FS,JP-GM,JP-NI,JP-TC",26,26,776,0,0
JP-0012,Joshinetsu Kogen National Park,36.6919,138.519,PM96gq,"JP-GM,JP-NI,JP-NN",254,223,7535,0,1
JP-0013,Myoko-Togakushi renzan National Park,36.8364,138.077,PM96au,"JP-NI,JP-NN",48,44,1153,0,2
JP-0014,Chichibu-Tama-Kai National Park,35.8593,138.863,PM95ku,"JP-NN,JP-ST,JP-TK,JP-YN",640,566,29507,0,28
JP-0015,Ogasawara National Park,27.0671,142.211,QL17cb,JP-OG,0,0,0,0,3
JP-0016,Fuji-Hakone-Izu National Park,35.2347,139.022,PM95mf,"JP-KN,JP-SZ,JP-TK,JP-YN",1168,887,35201,0,21
JP-0017,Chubusangaku National Park,36.449,137.622,PM86tk,"JP-GF,JP-NI,JP-NN,JP-TY",90,74,1857,0,0
JP-0018,Hakusan National Park,36.1579,136.765,PM86jd,"JP-FI,JP-GF,JP-IS,JP-TY",20,20,497,0,0
JP-0019,Minami Alps National Park,35.6421,138.217,PM95cp,"JP-NN,JP-SZ,JP-YN",18,13,353,0,0
