reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-0001,Rishiri-Rebun-Sarobetsu National Park,45.1942,141.239,QN05oe,JP-HK,22,15,559,0,1
JP-0002,Shiretoko National Park,44.165,145.205,QN24od,JP-HK,9,9,285,0,0
JP-0003,Akan-Mashu National Park,43.4362,144.103,QN23bk,JP-HK,16,14,401,0,0
JP-0004,Kushiroshitsugen National Park,43.1383,144.445,QN23fd,JP-HK,39,20,596,0,1
JP-0005,Daisetsuzan National Park,43.6717,142.907,QN13kq,JP-HK,27,24,608,0,0
JP-0006,Shikotsu-Toya National Park,42.7959,141.221,QN02ot,JP-HK,36,32,869,0,0
JP-0007,Towada-Hachimantai National Park,40.2442,140.939,QN00lf,"JP-AK,JP-AO,JP-IW",60,47,1746,0,1
JP-0008,Sanriku Fukko National Park,39.0046,141.585,QM09ta,"JP-AO,JP-IW,JP-MG",211,197,9093,0,9
JP-0009,Bandai-Asahi National Park,37.8229,139.74,PM97ut,"JP-FS,JP-NI,JP-YT",157,130,4624,0,2
JP-0010,Nikko National Park,36.8763,139.464,PM96rv,"JP-FS,JP-GM,JP-TC",254,226,10823,0,9
JP-0011,Oze National Park,36.9382,139.287,PM96pw,"JP-FS,JP-GM,JP-NI,JP-TC",34,32,1000,0,0
JP-0012,Joshinetsu Kogen National Park,36.6919,138.519,PM96gq,"JP-GM,JP-NI,JP-NN",307,266,9247,0,2
JP-0013,Myoko-Togakushi renzan National Park,36.8364,138.077,PM96au,"JP-NI,JP-NN",56,52,1326,0,2
JP-0014,Chichibu-Tama-Kai National Park,35.8593,138.863,PM95ku,"JP-NN,JP-ST,JP-TK,JP-YN",729,644,35470,0,32
JP-0016,Fuji-Hakone-Izu National Park,35.2347,139.022,PM95mf,"JP-KN,JP-SZ,JP-TK,JP-YN",1298,1000,48843,0,25
JP-0017,Chubusangaku National Park,36.449,137.622,PM86tk,"JP-GF,JP-NI,JP-NN,JP-TY",104,84,2368,0,1
JP-0018,Hakusan National Park,36.1579,136.765,PM86jd,"JP-FI,JP-GF,JP-IS,JP-TY",27,27,639,0,0
JP-0019,Minami Alps National Park,35.6421,138.217,PM95cp,"JP-NN,JP-SZ,JP-YN",22,17,418,0,0
JP-0020,Ise-Shima National Park,34.426,136.802,PM84jk,JP-ME,41,34,1269,0,1
JP-0021,Yoshino-Kumano National Park,33.6542,135.659,PM73tp,"JP-ME,JP-NR,JP-WK",64,61,2454,0,1
JP-0022,San'inkaigan National Park,35.6485,134.65,PM75hp,"JP-HG,JP-KY,JP-TT",36,32,1739,0,1
JP-0023,Setonaikai National Park,34.2796,133.229,PM64og,"JP-EH,JP-FO,JP-HG,JP-HS,JP-KG,JP-OS,JP-OT,JP-OY,JP-TS,JP-WK,JP-YC",528,424,16055,0,20
JP-0024,Daisen-Oki National Park,35.4072,133.543,PM65sj,"JP-OY,JP-SM,JP-TT",47,40,2122,0,0
JP-0025,Ashizuri-Uwakai National Park,32.7791,132.979,PM62ls,"JP-EH,JP-KC",40,34,7162,0,1
JP-0026,Saikai National Park,33.1642,129.677,PM43ud,JP-NS,16,14,397,0,0
JP-0027,Unzen-Amakusa National Park,32.7105,130.273,PM52dr,"JP-KM,JP-KS,JP-NS",19,17,812,0,0
JP-0028,Aso-Kuju National Park,32.9499,131.086,PM52nw,"JP-KM,JP-OT",59,49,2346,0,2
JP-0029,Kirishima-Kinkowan National Park,31.9211,130.877,PM51kw,"JP-KS,JP-MZ",38,32,1571,0,2
JP-0030,Yakushima (Island) National Park,30.3261,130.53,PM50gh,JP-KS,4,2,56,0,0
JP-0031,Amamigunto National Park,28.2426,129.309,PL48pf,JP-KS,11,10,527,0,0
JP-0032,Yambaru National Park,26.7286,128.221,PL46cr,JP-ON,9,9,325,0,0
