"DX Entity","Location","HASC","Reference","Park Name","First QSO Date","QSOs"
"China","Hainan","CN-HI","CN-0478","河南郑州高新区铁路旁森林步道 Regional Park","2024-02-26",3
"China","Jiangsu","CN-JS","CN-0437","江苏南京玄武湖公园 Park","2024-03-10",1
"China","Liaoning","CN-LN","CN-0026","南湖公园(NanHu park) Park","2023-09-30",1
"China","Liaoning","CN-LN","CN-0045","沈阳万柳塘公园 Park","2023-09-29",1
"China","Zhejiang","CN-ZJ","CN-0005","太湖Taihu Lake National Lakeshore","2023-03-29",2
"China","Zhejiang","CN-ZJ","CN-0106","浙江湖州-西山漾湿地公园 Wetland Reserve","2023-03-14",1
"Japan","Aichi","JP-AI","JP-0127","Hida-Kisogawa Quasi-National Park","2023-05-26",1
"Japan","Aichi","JP-AI","JP-0128","Aichi Kogen Quasi-National Park","2023-06-17",1
"Japan","Aichi","JP-AI","JP-0129","Mikawa Wan Quasi-National Park","2022-12-01",2
"Japan","Aichi","JP-AI","JP-1452","Atsumi Hanto Prefectural Nature Park","2024-05-05",1
"Japan","Aichi","JP-AI","JP-1453","Minami Chita Prefectural Nature Park","2023-12-31",3
"Japan","Aichi","JP-AI","JP-1454","Dando Kogen Prefectural Nature Park","2024-01-05",2
"Japan","Aichi","JP-AI","JP-1455","Furikusa Keikoku Prefectural Nature Park","2024-04-13",1
"Japan","Aichi","JP-AI","JP-1456","Hongusan Prefectural Nature Park","2024-01-06",1
"Japan","Aichi","JP-AI","JP-1458","Ishimakisan Tame Prefectural Nature Park","2024-05-05",1
"Japan","Aichi","JP-AI","JP-1459","Atsuta Jingu Prefectural Park","2023-05-27",2
"Japan","Aichi","JP-AI","JP-1460","Odaka Ryokuchi Prefectural Park","2023-05-27",6
"Japan","Aichi","JP-AI","JP-1463","Shinshiro General Prefectural Park","2024-01-07",1
"Japan","Aichi","JP-AI","JP-1464","Kisogawa Sobue Ryokuchi Prefectural Park","2023-12-29",1
"Japan","Aichi","JP-AI","JP-1465","Owari Koiki Ryokudo Prefectural Park","2023-03-24",1
"Japan","Aichi","JP-AI","JP-1466","Aichi Health Village Prefectural Park","2023-03-24",2
"Japan","Aichi","JP-AI","JP-1467","Makinogaike Greens Prefectural Park","2024-03-30",2
"Japan","Aichi","JP-AI","JP-1468","Higashi-mikawa Furusato Prefectural Park","2024-02-03",1
"Japan","Aichi","JP-AI","JP-1469","Expo 2005 Aichi Commemorative Prefectural Park","2023-06-17",1
"Japan","Aichi","JP-AI","JP-1470","Aburagafuchi Waterside Prefectural Park","2023-12-08",6
"Japan","Aichi","JP-AI","JP-1918","Aichiken ryokka center Prefectural Park","2023-06-17",2
"Japan","Aichi","JP-AI","JP-1919","Kainan Kodomonokuni Prefectural Park","2024-04-07",3
"Japan","Aichi","JP-AI","JP-1920","AichiYatomi Yachouen Prefectural Park","2024-02-04",2
"Japan","Aichi","JP-AI","JP-1921","Aichi KenminnoMori Prefectural Park","2024-07-27",1
"Japan","Aichi","JP-AI","JP-1923","Korogi Athletic Prefectural Park","2023-06-17",1
"Japan","Aichi","JP-AI","JP-1924","LAGUNA BEACH Prefectural Park","2024-02-12",1
"Japan","Aichi","JP-AI","JP-1925","Kaisho Forest Prefectural Park","2023-06-17",1
"Japan","Aichi","JP-AI","JP-1926","Aichi Education and Sports Foundation Prefectural Park","2023-03-12",1
"Japan","Akita","JP-AK","JP-0112","Chokai Quasi-National Park","2023-11-09",1
"Japan","Akita","JP-AK","JP-1060","Akita Shirakami Prefectural Nature Park","2023-04-09",1
"Japan","Akita","JP-AK","JP-1062","Kimimachi-zaka Prefectural Nature Park","2023-04-09",1
"Japan","Akita","JP-AK","JP-2055","Fureai Ryokuchi Prefectural Park","2023-04-09",1
"Japan","Aomori","JP-AO","JP-0007","Towada-Hachimantai National Park","2023-10-11",1
"Japan","Aomori","JP-AO","JP-0106","Shimokita Hanto Quasi-National Park","2024-09-08",1
"Japan","Aomori","JP-AO","JP-0107","Tsugaru Quasi-National Park","2024-04-14",1
"Japan","Aomori","JP-AO","JP-1025","Owani Ikarigaseki Onsenkyo Prefectural Nature Park","2024-04-02",1
"Japan","Aomori","JP-AO","JP-1029","Iwaki Kogen Prefectural Nature Park","2024-04-13",1
"Japan","Aomori","JP-AO","JP-2053","Aomori Prefectural Sport Prefectural Park","2023-05-13",1
"Japan","Chiba","JP-CH","JP-0116","Minami-Boso Quasi-National Park","2023-03-05",3
"Japan","Chiba","JP-CH","JP-1183","Kujukuri Prefectural Nature Park","2022-11-23",6
"Japan","Chiba","JP-CH","JP-1184","Inba Tega Prefectural Nature Park","2022-11-20",8
"Japan","Chiba","JP-CH","JP-1186","Mineoka Sankei Prefectural Nature Park","2024-02-12",1
